txn_id,card_last4,merchant_name,merchant_category,amount,currency_code,txn_status,txn_datetime,cust_id,pos_entry_mode,response_code
CRD-1001,4521,Carrefour Dubai Mall,GROCERY,245.75,AED,APPROVED,2026-04-10 10:23:14,CUST-10045,EMV,00
CRD-1002,4521,ADNOC Service Station,FUEL,120.00,AED,APPROVED,2026-04-10 11:05:42,CUST-10045,CONTACTLESS,00
CRD-1003,9987,Noon.com,ECOMMERCE,899.50,AED,APPROVED,2026-04-10 12:11:03,CUST-10078,ECOM,00
CRD-1004,9987,Starbucks JBR,DINING,38.00,AED,DECLINED,2026-04-10 13:40:22,CUST-10078,CONTACTLESS,51
CRD-1005,3344,Emirates Airlines,TRAVEL,4250.00,AED,APPROVED,2026-04-10 14:22:11,CUST-10102,ECOM,00
CRD-1006,3344,Lulu Hypermarket,GROCERY,312.40,AED,APPROVED,2026-04-10 15:02:55,CUST-10102,EMV,00
CRD-1007,7766,Careem Ride,TRANSPORT,45.25,AED,APPROVED,2026-04-10 15:30:09,CUST-10200,ECOM,00
CRD-1008,7766,Amazon.ae,ECOMMERCE,567.80,AED,APPROVED,2026-04-10 16:45:17,CUST-10200,ECOM,00
CRD-1009,2211,Talabat Food,DINING,88.50,AED,APPROVED,2026-04-10 18:12:44,CUST-10089,ECOM,00
CRD-1010,2211,Namshi,ECOMMERCE,234.00,AED,REVERSED,2026-04-10 19:33:02,CUST-10089,ECOM,00
CRD-1011,4521,Dubai Metro,TRANSPORT,25.00,AED,APPROVED,2026-04-11 08:15:30,CUST-10045,CONTACTLESS,00
CRD-1012,9987,Sharaf DG,ELECTRONICS,1899.00,AED,APPROVED,2026-04-11 11:22:18,CUST-10078,EMV,00
CRD-1013,3344,McDonalds Mall of Emirates,DINING,55.75,AED,APPROVED,2026-04-11 12:50:11,CUST-10102,CONTACTLESS,00
CRD-1014,7766,Spinneys,GROCERY,186.25,AED,APPROVED,2026-04-11 14:07:32,CUST-10200,EMV,00
CRD-1015,2211,Uber Eats,DINING,72.00,AED,DECLINED,2026-04-11 20:18:45,CUST-10089,ECOM,05
CRD-1016,5577,Apple Store Dubai Mall,ELECTRONICS,4599.00,AED,APPROVED,2026-04-11 21:00:23,CUST-10315,EMV,00
CRD-1017,5577,Costa Coffee,DINING,28.50,AED,APPROVED,2026-04-12 09:12:08,CUST-10315,CONTACTLESS,00
CRD-1018,4521,Al Maya Supermarket,GROCERY,143.60,AED,APPROVED,2026-04-12 10:45:14,CUST-10045,EMV,00
CRD-1019,9987,IKEA Dubai,RETAIL,1250.00,AED,APPROVED,2026-04-12 13:28:40,CUST-10078,EMV,00
CRD-1020,3344,Shell Petrol,FUEL,95.00,AED,APPROVED,2026-04-12 15:11:55,CUST-10102,CONTACTLESS,00
CRD-1021,8899,Chalhoub Group,RETAIL,2340.00,AED,APPROVED,2026-04-12 16:44:21,CUST-10420,EMV,00
CRD-1022,8899,Cafe Bateel,DINING,125.00,AED,APPROVED,2026-04-12 18:00:12,CUST-10420,CONTACTLESS,00
CRD-1023,7766,Virgin Megastore,RETAIL,389.00,AED,APPROVED,2026-04-13 11:34:50,CUST-10200,EMV,00
CRD-1024,2211,Carrefour City Centre,GROCERY,267.85,AED,APPROVED,2026-04-13 13:15:27,CUST-10089,EMV,00
CRD-1025,5577,Ounass Luxury,ECOMMERCE,3499.00,AED,APPROVED,2026-04-13 14:40:11,CUST-10315,ECOM,00
CRD-1026,4521,Dubai Parks,ENTERTAINMENT,525.00,AED,APPROVED,2026-04-13 16:22:04,CUST-10045,EMV,00
CRD-1027,9987,Al Ain Dairy,GROCERY,45.00,AED,APPROVED,2026-04-13 17:55:18,CUST-10078,CONTACTLESS,00
CRD-1028,3344,Magnum Ice Cream Cafe,DINING,65.25,AED,APPROVED,2026-04-14 10:02:33,CUST-10102,CONTACTLESS,00
CRD-1029,8899,Dubai Duty Free,RETAIL,780.00,AED,APPROVED,2026-04-14 11:18:47,CUST-10420,EMV,00
CRD-1030,7766,Zara Dubai Mall,RETAIL,450.00,AED,APPROVED,2026-04-14 12:40:05,CUST-10200,EMV,00
CRD-1031,2211,Nando's JBR,DINING,178.50,AED,DECLINED,2026-04-14 19:30:29,CUST-10089,CONTACTLESS,51
CRD-1032,5577,Emirates Palace,TRAVEL,2850.00,AED,APPROVED,2026-04-14 20:11:13,CUST-10315,EMV,00
CRD-1033,4521,Waitrose Dubai,GROCERY,195.40,AED,APPROVED,2026-04-15 09:45:22,CUST-10045,EMV,00
CRD-1034,9987,Sephora,RETAIL,680.00,AED,APPROVED,2026-04-15 11:30:08,CUST-10078,EMV,00
CRD-1035,3344,Tim Hortons,DINING,42.00,AED,APPROVED,2026-04-15 12:15:41,CUST-10102,CONTACTLESS,00
CRD-1036,8899,Harvey Nichols,RETAIL,3100.00,AED,APPROVED,2026-04-15 14:22:55,CUST-10420,EMV,00
CRD-1037,7766,Ski Dubai,ENTERTAINMENT,320.00,AED,APPROVED,2026-04-15 15:50:18,CUST-10200,EMV,00
CRD-1038,2211,Paul Bakery,DINING,95.75,AED,APPROVED,2026-04-15 17:33:12,CUST-10089,CONTACTLESS,00
CRD-1039,5577,Bloomingdales Dubai,RETAIL,1890.00,AED,APPROVED,2026-04-15 19:08:47,CUST-10315,EMV,00
CRD-1040,4521,Eppco Station,FUEL,110.00,AED,APPROVED,2026-04-16 08:22:15,CUST-10045,CONTACTLESS,00
CRD-1041,9987,Debenhams Dubai,RETAIL,560.00,AED,APPROVED,2026-04-16 12:18:34,CUST-10078,EMV,00
CRD-1042,3344,Shake Shack,DINING,112.00,AED,APPROVED,2026-04-16 13:45:21,CUST-10102,CONTACTLESS,00
